Name,Link,Price,Image
"
          Grapefruit Ruby Red (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/grapefruit-br-ruby-red-each-4581,$7.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/Grapefruit_Ruby_Red_medium.jpg?v=1504241700
"
          Grapes Red Seedless (min 1kg Bag) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/grapes-red-seedless-44611,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/grapes_red_seedless_resized_0d6c120f-f276-41e8-8efb-c4d3764be8db_medium.jpeg?v=1477434252
"
          Kiwifruit (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/kiwifruit-each-4611,$8.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_4610_W_1000PX_3_9b1069eb-9480-471a-a6bc-39eb2dda22b8_medium.jpg?v=1491528618
"
          Kiwifruit Gold (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/kiwifruit-gold-each-4441,$11.29 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/kiwi_gold_medium.jpg?v=1590708325
"
          Lemon (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/lemons-4621,$6.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_4621_W_1000PX_3_medium.jpg?v=1476802468
"
          Lemon Imperfect Pick Value Range (Each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/lemons-imperfect-pick-value-range,$3.49 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/lemon-imperfect-done_medium.jpg?v=1504242597
"
          Lemon Organic (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/lemons-organic-each-74621,$11.29 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/lemon-organic_medium.jpg?v=1495556311
"
          Lime (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/limes-4641,$16.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/limes-resized_medium.jpg?v=1590707930
"
          Limes Finger (125g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/limes-finger-46412,$10.29 each,https://cdn.shopify.com/s/files/1/0206/9470/products/46412-open-done_medium.jpg?v=1533612403
"
          Limes Organic (min 250g) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/limes-organic-74642,$22.76 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74642-done_medium.jpg?v=1576907104
"
          Mandarins - Organic (500g) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarins-organic-net-74682,$11.38 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74682-done_medium.jpg?v=1592621671
"
          Mandarins Empress (Case Sale, Box 18kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarins-empress-case-sale-905921,$7.11 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/905921-done_medium.jpg?v=1592798786
