Name,Link,Price,Image,Field4
 Pluots Interspecific,https://www.iga.net/en/product/pluots-interspecific/00000_000000000000003278,"
                                            $1.10 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003278.jpg,
 Raspberries,https://www.iga.net/en/product/raspberries/00000_000000071575610003,"
                                            $1.76 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0071575610003.jpg,
Red Grapefruit,https://www.iga.net/en/product/grapefruitred/00000_000000003338391112,"
                                            $0.44 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338391112.jpg,
Red Large Plums,https://www.iga.net/en/product/plumsred-large/00000_000000000000004042,"
                                            $0.66 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004042.jpg,
 Red Seedless Grapes,https://www.iga.net/en/product/red-seedless-grapes/00000_000000000000004023,"
                                            $0.27 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004023.jpg,
Regular Seeded Watermelon,https://www.iga.net/en/product/watermelonregular-seeded/00000_000000000000004031,"
                                            $7.99 / EA
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
Regular Seedless Bin Watermelon,https://www.iga.net/en/product/watermelonregular-seedless-bin/00000_000000000000004032,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004032.jpg,
Santa Claus Melons,https://www.iga.net/en/product/melonssanta-claus/00000_000000000000004336,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004336.jpg,
Saturn Peaches,https://www.iga.net/en/product/peachessaturn/00000_000000000000003113,"
                                            $1.32 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003113.jpg,
Spartan Apple,https://www.iga.net/en/product/applespartan/00000_000000006882013321,"
                                            $0.30 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0006882013321.jpg,
