Name,Price,Image,Category
"
                    Macro Pink Lady Apple Organic 1kg punnet
                ","
                        $7.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/160888.jpg,Apple
"
                    Envy Apple  1kg punnet
                ","
                        $5.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/646356.jpg,Apple
"
                     Orange Blood  1kg bag
                ","
                        $4.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/332050.jpg,Orange
"
                    The Odd Bunch Pear Prepacked  1kg
                ","
                        $2.40 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/800774.jpg,Pear
"
                    The Odd Bunch Mandarin Prepacked  1kg
                ","
                        $3.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/845671.jpg,Mandarin
"
                    Macro Organic Royal Gala Apple Punnet 1kg
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/154338.jpg,Apple
"
                    Macro Mini Organic Apple 1kg
                ","
                        $7.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/773340.jpg,Apple
"
                    The Odd Bunch Apples Prepacked 1kg
                ","
                        $2.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/800763.jpg,Apple
"
                    Birch & Waite Milk Chocolate Dessert Sauce 130g
                ","
                        $23.08 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/669459.jpg,Mixed
"
                    Driscoll's Blackberry Fresh  125g punnet
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/296813.jpg,Blackberries
"
                    Driscoll's Fresh Raspberry  125g
                ","
                        $44.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/165262.jpg,Raspberries
"
                    Driscoll's Fresh Blueberries  125g
                ","
                        $27.20 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/169792.jpg,Blueberries
"
                    Woolworths Organic Blueberry 125g
                ","
                        $44.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/282515.jpg,Blueberries
"
                     Fruit Essentials Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90001107.jpg,Mixed
"
                     Mixed Fruit & Veggie 10pk Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90000028.jpg,Mixed
"
                     Mixed Fruit Snack Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90000762.jpg,Mixed
"
                     Fresh Fruit 6pk Variety Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90000027.jpg,Mixed
"
                     Fresh Fruit 7pk Variety Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90000030.jpg,Mixed
"
                     Fruit Yoghurt Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90001099.jpg,Mixed
"
                     Small Mixed Fruit Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90000758.jpg,Mixed
"
                     Sour Mash Cocktail Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90001523.jpg,Mixed
"
                     Negroni Cocktail Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90001521.jpg,Mixed
"
                     Delicious Dougies Neck Cocktail Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90001522.jpg,Mixed
"
                     Classic Canadian Club And Dry Cocktail Bundle  
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/90001527.jpg,Mixed
